"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","3766","AC8: Ana sayfadaki hazır kategoriler","User Story 02: Arama ve Filtreleme Fonksiyonları","2026-03-02","passed","2026-03-02","","","",""
"","6539","AC3 & AC4: Başarılı Giriş (Pozitif)","Kitapsepeti US01: Kullanıcı Girişi Tüm Senaryolar","2026-03-02","passed","2026-03-02","","","",""
"","5472","AC3 & AC4: Sıralama fonksiyonu - Fiyat Artan doğrulaması","User Story 02: Arama ve Filtreleme Fonksiyonları","2026-03-02","passed","2026-03-02","","","",""
"","7351","AC5: Sepete Ekle butonunun zorla görünür yapılması ve kontrolü","User Story 02: Arama ve Filtreleme Fonksiyonları","2026-03-02","passed","2026-03-02","","","",""
"","8435","AC6 & AC7: Sol panel filtreleme (Kategori & Marka)","User Story 02: Arama ve Filtreleme Fonksiyonları","2026-03-02","passed","2026-03-02","","","",""
"","16427","AC4 - AC6: Sepete ekleme ve sayaç artışı kontrolü","User Story 03: Ürün Detay Sayfası ve Sepet Süreçleri","2026-03-02","passed","2026-03-02","","","",""
"","3996","AC1 & AC2: UI Elemanlarının Kontrolü","Kitapsepeti US01: Kullanıcı Girişi Tüm Senaryolar","2026-03-02","passed","2026-03-02","","","",""
"","17852","AC2 - AC4: Ürün bilgileri, miktar artırma ve fiyat güncelleme","User Story 04: Sepet Yönetimi ve Kontrolü","2026-03-02","passed","2026-03-02","","","",""
"","14019","AC 8 & AC 10: Satın Al süreci ve Adres sayfasına yönlendirme","User Story 04: Sepet Yönetimi ve Kontrolü","2026-03-02","passed","2026-03-02","","","",""
"","7915","AC5, AC6, AC7: Negatif Giriş Senaryoları","Kitapsepeti US01: Kullanıcı Girişi Tüm Senaryolar","2026-03-02","passed","2026-03-02","","","",""
"","12128","AC9: Sonsuz Kaydırma (Infinite Scroll)","User Story 02: Arama ve Filtreleme Fonksiyonları","2026-03-02","passed","2026-03-02","","","",""
"","3098","AC9: Şifremi Unuttum Akışı","Kitapsepeti US01: Kullanıcı Girişi Tüm Senaryolar","2026-03-02","passed","2026-03-02","","","",""
"","11087","AC1 - AC3: Detay sayfasını görüntüleme ve bilgilerin doğruluğu","User Story 03: Ürün Detay Sayfası ve Sepet Süreçleri","2026-03-02","passed","2026-03-02","","","",""
"","7400","AC1 & AC2: Ürün arama ve sonuçların görüntülenmesi","User Story 02: Arama ve Filtreleme Fonksiyonları","2026-03-02","passed","2026-03-02","","","",""
"","24099","AC1-AC6: Misafir Girişi ve Adres Formu Doğrulaması","User Story 06: Misafir Olarak Satın Alma Akışı","2026-03-02","passed","2026-03-02","","","",""
"","24448","Login, Adres, Kargo ve Kart Bilgileri (Pozitif & Negatif Test)","User Story 05: Tam Ödeme ve Form Doğrulama Akışı","2026-03-02","passed","2026-03-02","","","",""
"","3125","AC8: Kısıtlama Testi (Brute Force)","Kitapsepeti US01: Kullanıcı Girişi Tüm Senaryolar","2026-03-02","skipped","2026-03-02","","","",""
"","13327","AC6 & AC7: Sepeti Tamamen Temizleme ve Boş Sepet Mesajı","User Story 04: Sepet Yönetimi ve Kontrolü","2026-03-02","passed","2026-03-02","","","",""
